SampleID	Individual	Selection_line	Sex	BodyMass	Sample_type	Lactobacillus	Ruminococcus
PF.h3.409.f1	h3409	H	0	21.04	Control	0.960983	0.00238799
PF.h2.841.f1	h2841	H	1	19.97	Control	0.914219	0.00141011
PF.h2.830.f1	h2830	H	0	23.8	Control	0.996488	0.00018323
PF.h1.493.f1	h1493	H	1	19.17	Control	0.577484	0.02351616
PF.h1.230.f1	h1230	H	0	21.13	Control	0.863531	0.01049101
PF.c4.120.f1	c4120	C	1	22.95	Control	0.987315	0.00073123
PF.c3.858.f1	c3858	C	0	17.61	Control	0.946029	0.01054536
PF.c2.847.f1	c2847	C	1	22.14	Control	0.042725	0.29032112
PF.c2.645.f1	c2645	C	0	31.02	Control	0.263837	0.5684561
PF.c2.557.f1	c2557	C	0	21	Control	0.925121	0.02173913
PC.h2.841.c1	h2841	H	1	18.67	Treatment	0.103127	0.12342024
PC.h2.830.c1	h2830	H	0	21.28	Treatment	0.007692	0.15947603
PC.h2.295.c1	h2295	H	1	21.04	Treatment	0.026081	0.19632016
PC.h1.802.c1	h1802	H	0	19.97	Treatment	0.005916	0.12449979
PC.h1.230.c1	h1230	H	0	23.8	Treatment	0.225399	0.15725432
PC.c4.120.c1	c4120	C	1	22.63	Treatment	0.011344	0.20506108
PC.c3.858.c1	c3858	C	0	19.17	Treatment	0.000547	0.25047466
PC.c3.857.c1	c3857	C	1	21.13	Treatment	0.00979	0.09454545
PC.c2.847.c1	c2847	C	1	22.95	Treatment	0.19891	0.14610592
PC.c2.645.c1	c2645	C	0	18.72	Treatment	0.051926	0.27470687
PC.c2.557.c1	c2557	C	0	27.5	Treatment	0.675782	0.03898653
PC.c1.244.c1	c1244	C	1	22.14	Treatment	0.040526	0.26177437
PC.c1.088.c1	c1088	C	0	31.02	Treatment	0.112735	0.20981211
MC.h3.409.c2	h3409	H	0	18.67	Treatment	0.115275	0.16212595
MC.h2.841.c2	h2841	H	1	21.28	Treatment	0.004074	0.11053688
MC.h2.830.c2	h2830	H	0	21.04	Treatment	0.013248	0.18793384
MC.h2.295.c2	h2295	H	1	19.97	Treatment	0.95542	0.00212807
MC.h1.802.c2	h1802	H	0	23.8	Treatment	0.028145	0.28460365
MC.h1.650.c2	h1650	H	0	19.17	Treatment	0.001436	0.28947437
MC.h1.230.c2	h1230	H	0	21.13	Treatment	0.007415	0.08666346
MC.c4.120.c2	c4120	C	1	22.95	Treatment	0.117657	0.13725704
MC.c3.858.c2	c3858	C	0	28.75	Treatment	0.02014	0.20532504
MC.c2.847.c2	c2847	C	1	18.72	Treatment	0.946122	0.00728155
MC.c2.645.c2	c2645	C	0	27.5	Treatment	0.626703	0.03269755
MC.c2.557.c2	c2557	C	0	22.14	Treatment	0.081249	0.20678651
MC.c1.244.c2	c1244	C	1	31.02	Treatment	0.009715	0.2273154
MC.c1.088.c2	c1088	C	0	21	Treatment	0.089602	0.03816372
DF.h3.409.f2	h3409	H	0	18.67	Control	0.347628	0.3069634
DF.h2.841.f2	h2841	H	1	21.28	Control	0.421681	0.19200735
DF.h2.830.f2	h2830	H	0	21.04	Control	0.794438	0.01538127
DF.h1.650.f2	h1650	H	0	22.63	Control	0.984127	0
DF.h1.230.f2	h1230	H	0	21.13	Control	0.48286	0.00685602
DF.c4.120.f2	c4120	C	1	22.95	Control	0.987554	0.00080606
DF.c3.857.f2	c3857	C	1	28.75	Control	0.764815	0.0031746
DF.c2.557.f2	c2557	C	0	22.14	Control	0.980611	0.00036174
DF.c1.244.f2	c1244	C	1	31.02	Control	0.730496	0.07801418
DF.c1.088.f2	c1088	C	0	21	Control	0.820865	0.03157172
DC.h3.409.c3	h3409	H	0	18.67	Treatment	0.009524	0.27492063
DC.h2.841.c3	h2841	H	1	21.28	Treatment	0.018109	0.09093572
DC.h2.830.c3	h2830	H	0	21.04	Treatment	0.03866	0.10275746
DC.h2.295.c3	h2295	H	0	19.97	Treatment	0.003835	0.05727916
DC.h1.802.c3	h1802	H	0	22.63	Treatment	0.008287	0.22790055
DC.h1.230.c3	h1230	H	0	21.13	Treatment	0.012677	0.11334825
DC.c4.120.c3	c4120	C	1	22.95	Treatment	0.132197	0.14405781
DC.c3.857.c3	c3857	C	1	18.72	Treatment	0.020501	0.32346241
DC.c2.645.c3	c2645	C	0	22.14	Treatment	0.38012	0.02578153
DC.c2.557.c3	c2557	C	0	22.14	Treatment	0.138419	0.09630652
DC.c1.244.c3	c1244	C	1	31.02	Treatment	0.014838	0.2566966
DC.c1.088.c3	c1088	C	0	21	Treatment	0.082803	0.46132848
